test_id,input_title,context,difficulty,target_level,expected,kg_got,kg_level,kg_conf,final_got,final_source,final_level,final_correct,llm_reason
T_0194,高级数据分析师,,medium,L2,数据分析师,数据分析师,L1_exact,1.0,数据分析师,kg,L1_exact,1,
T_0195,资深资深商业分析师,做BI方向,medium,L2,数据分析师,数据分析师,L2_fuzzy,0.9,数据分析师,kg,L2_fuzzy,1,
T_0196,资深高级Go工程师,,medium,L2,软件工程师,,L0_kg_miss,0,软件工程师,llm,L3_llm_embedding,1,embedding最近邻: Go工程师
T_0197,资深资深DevOps工程师,,medium,L2,软件工程师,软件工程师,L2_fuzzy,0.9,软件工程师,kg,L2_fuzzy,1,
T_0198,资深高级全栈工程师,,medium,L2,软件工程师,,L0_kg_miss,0,软件工程师,llm,L3_llm_embedding,1,embedding最近邻: 全栈工程师
T_0199,资深高级QA工程师,,medium,L2,测试工程师,,L0_kg_miss,0,测试工程师,llm,L3_llm_embedding,1,embedding最近邻: QA工程师
T_0200,资深资深NLP工程师,,medium,L2,算法工程师,算法工程师,L2_fuzzy,0.9,算法工程师,kg,L2_fuzzy,1,
T_0201,高级推荐算法工程师,,medium,L2,算法工程师,算法工程师,L2_fuzzy,0.9,算法工程师,kg,L2_fuzzy,1,
T_0202,资深高级合规经理,,medium,L2,法务经理,,L0_kg_miss,0,法务经理,llm,L3_llm_embedding,1,embedding最近邻: 数据合规经理
T_0203,资深高级采购经理,,medium,L2,供应链经理,,L0_kg_miss,0,供应链经理,llm,L3_llm_embedding,1,embedding最近邻: 采购经理
T_0204,资深资深UI设计师,,medium,L2,设计师,设计师,L2_fuzzy,0.9,设计师,kg,L2_fuzzy,1,
T_0205,高级交互设计师,,medium,L2,设计师,设计师,L2_fuzzy,0.9,设计师,kg,L2_fuzzy,1,
T_0206,高级行政专员,,medium,L2,行政经理,行政经理,L2_fuzzy,0.9,行政经理,kg,L2_fuzzy,1,
T_0207,资深高级系统架构师,,medium,L2,架构师,,L0_kg_miss,0,架构师,llm,L3_llm_embedding,1,embedding最近邻: 系统架构师
T_0208,资深高级业务总监,,medium,L2,总经理,,L0_kg_miss,0,总经理,llm,L3_llm_embedding,1,embedding最近邻: 业务总监
T_0209,资深高级项目经理,,medium,L2,项目经理,项目经理,L2_fuzzy,0.9,项目经理,kg,L2_fuzzy,1,
T_0210,资深高级硬件工程师,做消费电子,medium,L2,机械工程师,,L0_kg_miss,0,机械工程师,llm,L3_llm_embedding,1,embedding最近邻: 嵌入式硬件工程师
T_0211,资深高级直播运营经理,,medium,L2,运营经理,,L0_kg_miss,0,运营经理,llm,L3_llm_embedding,1,embedding最近邻: 直播运营经理
T_0212,资深售前顾问,,medium,L2,销售经理,销售经理,L2_fuzzy,0.9,销售经理,kg,L2_fuzzy,1,
T_0213,首席大模型工程师,,medium,L2,算法工程师,算法工程师,L2_fuzzy,0.9,算法工程师,kg,L2_fuzzy,1,
T_0214,资深初级前端工程师,应届生,medium,L2,软件工程师,,L0_kg_miss,0,软件工程师,llm,L3_llm_embedding,1,embedding最近邻: 前端工程师
T_0215,资深资深FP&A经理,,medium,L2,财务经理,财务经理,L2_fuzzy,0.9,财务经理,kg,L2_fuzzy,1,
T_0216,资深高级OD经理,,medium,L2,人力资源经理,,L0_kg_miss,0,人力资源经理,llm,L3_llm_embedding,1,embedding最近邻: OD经理
T_0217,资深iOS工程师,做社交APP,medium,L2,软件工程师,软件工程师,L2_fuzzy,0.9,软件工程师,kg,L2_fuzzy,1,
T_0218,资深高级电商运营,,medium,L2,运营经理,,L0_kg_miss,0,运营经理,llm,L3_llm_embedding,1,embedding最近邻: 电商运营经理
T_0219,资深资深视觉设计师,,medium,L2,设计师,设计师,L2_fuzzy,0.9,设计师,kg,L2_fuzzy,1,
T_0220,资深资深自动化测试工程师,,medium,L2,测试工程师,测试工程师,L2_fuzzy,0.9,测试工程师,kg,L2_fuzzy,1,
T_0221,资深做用户研究和竞品分析的人,在产品部门，用Axure画原型,hard,L3,产品经理,,L0_kg_miss,0,设计师,llm,L3_llm_embedding,0,embedding最近邻: UX研究员
T_0222,资深需求分析师,写PRD和需求文档，做产品方向,hard,L3,产品经理,,L0_kg_miss,0.556,软件工程师,llm,L3_llm_embedding,0,embedding最近邻: 研发总监
T_0223,资深社群增长专家,负责私域社群拉新和用户增长，用AB测试优化转化,hard,L3,运营经理,,L0_kg_miss,0,产品经理,llm,L3_llm_embedding,0,embedding最近邻: 增长产品经理
T_0224,抖音内容负责人,管理短视频团队做内容运营,hard,L3,运营经理,,L0_kg_miss,0.556,运营经理,llm,L3_llm_embedding,1,embedding最近邻: 内容运营负责人
T_0225,资深小红书运营,做品牌种草和内容策划,hard,L3,运营经理,,L0_kg_miss,0,运营经理,llm,L3_llm_embedding,1,embedding最近邻: 内容运营负责人
T_0226,资深SEM投放专家,在市场部做搜索引擎投放和媒介优化,hard,L3,市场经理,,L0_kg_miss,0,市场经理,llm,L3_llm_embedding,1,embedding最近邻: Marketing Manager
T_0227,整合营销负责人,品牌策略、内容营销、公关传播全都管,hard,L3,市场经理,,L0_kg_miss,0.634,市场经理,llm,L3_llm_embedding,1,embedding最近邻: 品牌公关总监
T_0228,资深企业文化官,负责企业文化建设、员工关系和雇主品牌,hard,L3,人力资源经理,,L0_kg_miss,0,人力资源经理,llm,L3_llm_embedding,1,embedding最近邻: 企业文化负责人
T_0229,资深人才发展专家,做人才盘点和组织发展,hard,L3,人力资源经理,,L0_kg_miss,0,人力资源经理,llm,L3_llm_embedding,1,embedding最近邻: 组织发展负责人
T_0230,资深行研分析师,做尽职调查和估值分析，看科技赛道,hard,L3,投资经理,,L0_kg_miss,0.556,投资经理,llm,L3_llm_embedding,1,embedding最近邻: 投资分析师
T_0231,资深客户关系维护经理,做大客户维护，CRM管理,hard,L3,销售经理,,L0_kg_miss,0,销售经理,llm,L3_llm_embedding,1,embedding最近邻: 大客户经理
T_0232,资深解决方案总监,做售前方案呈现和商务谈判,hard,L3,销售经理,,L0_kg_miss,0,销售经理,llm,L3_llm_embedding,1,embedding最近邻: 解决方案经理
T_0233,预算管理经理,负责全公司预算和财务报表,hard,L3,财务经理,,L0_kg_miss,0.72,财务经理,llm,L3_llm_embedding,1,embedding最近邻: 预算经理
T_0234,资深数据可视化专家,用Tableau和PowerBI做报表，SQL取数,hard,L3,数据分析师,,L0_kg_miss,0,数据分析师,llm,L3_llm_embedding,1,embedding最近邻: 数据分析师
T_0235,资深AB测试分析师,做数据建模和统计分析,hard,L3,数据分析师,,L0_kg_miss,0,数据分析师,llm,L3_llm_embedding,1,embedding最近邻: 数据分析师
T_0236,资深微服务开发负责人,用Spring Cloud + K8s做微服务，管Docker容器,hard,L3,软件工程师,,L0_kg_miss,0,软件工程师,llm,L3_llm_embedding,1,embedding最近邻: DevOps工程师
T_0237,CI/CD工程师,做持续集成和自动化部署,hard,L3,软件工程师,,L0_kg_miss,0.516,软件工程师,llm,L3_llm_embedding,1,embedding最近邻: DevOps工程师
T_0238,资深分布式系统专家,做高可用和性能优化,hard,L3,架构师,,L0_kg_miss,0,架构师,llm,L3_llm_embedding,1,embedding最近邻: 系统架构师
T_0239,自动化框架开发,用Selenium和JMeter做测试，接口测试和持续集成,hard,L3,测试工程师,,L0_kg_miss,0,测试工程师,llm,L3_llm_embedding,1,embedding最近邻: 自动化测试工程师
T_0240,深度学习研究员,发顶会论文，做PyTorch和机器学习，CV方向,hard,L3,算法工程师,,L0_kg_miss,0,算法工程师,llm,L3_llm_embedding,1,embedding最近邻: 计算机视觉工程师
T_0241,资深搜索引擎算法,做搜索排序和推荐系统，特征工程,hard,L3,算法工程师,,L0_kg_miss,0,算法工程师,llm,L3_llm_embedding,1,embedding最近邻: 推荐算法工程师
T_0242,资深数据隐私顾问,做合规管理和数据隐私，了解GDPR,hard,L3,法务经理,,L0_kg_miss,0,法务经理,llm,L3_llm_embedding,1,embedding最近邻: 隐私合规经理
T_0243,资深精益生产顾问,做工厂精益生产和质量管理，控制成本,hard,L3,供应链经理,,L0_kg_miss,0,供应链经理,llm,L3_llm_embedding,1,embedding最近邻: 工厂经理
T_0244,资深用研专家,做用户研究和交互设计，建设设计系统,hard,L3,设计师,,L0_kg_miss,0,设计师,llm,L3_llm_embedding,1,embedding最近邻: 交互设计师
T_0245,资深办公管理负责人,管行政和差旅管理，做会议组织,hard,L3,行政经理,,L0_kg_miss,0,行政经理,llm,L3_llm_embedding,1,embedding最近邻: 办公室主任
T_0246,资深战略规划总监,做战略管理和业务规划,hard,L3,总经理,,L0_kg_miss,0,投资经理,llm,L3_llm_embedding,0,embedding最近邻: 战略投资负责人
T_0247,资深敏捷教练,推Scrum和敏捷开发，用JIRA管项目,hard,L3,项目经理,,L0_kg_miss,0,项目经理,llm,L3_llm_embedding,1,embedding最近邻: Project Manager
T_0248,资深CAE仿真专家,用SolidWorks做结构设计和公差分析,hard,L3,机械工程师,,L0_kg_miss,0,机械工程师,llm,L3_llm_embedding,1,embedding最近邻: CAE工程师
T_0249,资深云原生架构专家,做云原生和中间件，技术选型,hard,L3,架构师,,L0_kg_miss,0,架构师,llm,L3_llm_embedding,1,embedding最近邻: 云架构师
T_0250,感知融合工程师,做自动驾驶的感知算法和SLAM,hard,L3,算法工程师,,L0_kg_miss,0.556,算法工程师,llm,L3_llm_embedding,1,embedding最近邻: 自动驾驶算法工程师
T_0251,数据产品经理,在数据部门做数据产品,hard,L3_ambiguous,数据分析师,数据分析师,L1_exact,1.0,数据分析师,kg,L1_exact,1,
T_0252,资深渠道经理,做销售渠道管理,hard,L3_ambiguous,市场经理,市场经理,L2_fuzzy,0.9,市场经理,kg,L2_fuzzy,1,
T_0253,资深前端架构师,做前端技术架构,hard,L3_ambiguous,架构师,架构师,L2_fuzzy,0.9,架构师,kg,L2_fuzzy,1,
T_0254,资深嵌入式工程师,做智能硬件的嵌入式开发,hard,L3_ambiguous,软件工程师,软件工程师,L2_fuzzy,0.9,软件工程师,kg,L2_fuzzy,1,
T_0255,增长黑客,用数据驱动做用户增长,hard,out_of_graph,运营经理,,L0_kg_miss,0,运营经理,llm,L3_llm_embedding,1,embedding最近邻: 用户增长
T_0256,全栈产品设计师,又做UX又做UI还写点前端,hard,out_of_graph,设计师,,L0_kg_miss,0.634,设计师,llm,L3_llm_embedding,1,embedding最近邻: UX设计师
T_0257,资深AI训练师,做大模型的RLHF标注和prompt工程,hard,out_of_graph,算法工程师,,L0_kg_miss,0,算法工程师,llm,L3_llm_embedding,1,embedding最近邻: 大模型工程师
T_0258,资深Prompt工程师,做大模型prompt优化,hard,out_of_graph,算法工程师,,L0_kg_miss,0,算法工程师,llm,L3_llm_embedding,1,embedding最近邻: 大模型工程师
T_0259,资深数字化转型负责人,推公司数字化转型，管IT和数据,hard,out_of_graph,总经理,,L0_kg_miss,0,数据分析师,llm,L3_llm_embedding,0,embedding最近邻: 数据负责人
T_0260,资深出海运营负责人,做东南亚市场的本地化运营,hard,out_of_graph,运营经理,,L0_kg_miss,0,运营经理,llm,L3_llm_embedding,1,embedding最近邻: 海外运营经理
T_0261,GTM策略负责人,做go-to-market策略和市场推广,hard,out_of_graph,市场经理,,L0_kg_miss,0,运营经理,llm,L3_llm_embedding,0,embedding最近邻: 策略运营负责人
T_0262,资深数据工程师,做ETL和数据管道,hard,out_of_graph,数据分析师,,L0_kg_miss,0.634,算法工程师,llm,L3_llm_embedding,0,embedding最近邻: 数据挖掘工程师
T_0263,SaaS销售总监,做企业SaaS产品的销售,hard,out_of_graph,销售经理,,L0_kg_miss,0.507,销售经理,llm,L3_llm_embedding,1,embedding最近邻: 首席销售官
T_0264,资深私募基金经理,管理PE基金，做一级市场投资,hard,out_of_graph,投资经理,,L0_kg_miss,0,投资经理,llm,L3_llm_embedding,1,embedding最近邻: 高级投资经理
T_0265,资深ESG合规官,做ESG合规和可持续发展报告,hard,out_of_graph,法务经理,,L0_kg_miss,0,法务经理,llm,L3_llm_embedding,1,embedding最近邻: 合规负责人
T_0266,资深供应链数字化负责人,做供应链ERP和库存管理系统,hard,out_of_graph,供应链经理,,L0_kg_miss,0,供应链经理,llm,L3_llm_embedding,1,embedding最近邻: Supply Chain Manager
T_0267,资深首席人才官,管全公司招聘和人才发展,hard,out_of_graph,人力资源经理,,L0_kg_miss,0,人力资源经理,llm,L3_llm_embedding,1,embedding最近邻: 首席人力官
T_0268,智能硬件产品总监,做IoT智能穿戴产品,hard,out_of_graph,产品经理,,L0_kg_miss,0,产品经理,llm,L3_llm_embedding,1,embedding最近邻: 产品总监
T_0269,MLOps工程师,做机器学习模型部署和运维,hard,out_of_graph,算法工程师,,L0_kg_miss,0.627,软件工程师,llm,L3_llm_embedding,0,embedding最近邻: DevOps工程师
T_0270,RPA开发工程师,做流程自动化机器人,hard,out_of_graph,软件工程师,,L0_kg_miss,0.505,算法工程师,llm,L3_llm_embedding,0,embedding最近邻: 机器人算法工程师
T_0271,资深低代码平台产品经理,做低代码/无代码开发平台,hard,out_of_graph,产品经理,,L0_kg_miss,0,产品经理,llm,L3_llm_embedding,1,embedding最近邻: 中台产品经理
T_0272,资深Web3产品经理,做DeFi和NFT相关产品,hard,out_of_graph,产品经理,,L0_kg_miss,0,产品经理,llm,L3_llm_embedding,1,embedding最近邻: B端产品经理
T_0273,财务BP,做业务财务分析，对接事业部,hard,out_of_graph,财务经理,,L0_kg_miss,0.6,财务经理,llm,L3_llm_embedding,1,embedding最近邻: 财务分析经理
T_0274,区块链开发工程师,做智能合约和Solidity开发,hard,out_of_graph,软件工程师,,L0_kg_miss,0.505,软件工程师,llm,L3_llm_embedding,1,embedding最近邻: 开发工程师
T_0275,资深机器人产品经理,做服务机器人的产品规划,hard,out_of_graph,产品经理,,L0_kg_miss,0.547,算法工程师,llm,L3_llm_embedding,0,embedding最近邻: 机器人算法工程师
T_0276,资深智能座舱算法工程师,做车载语音和HMI交互,hard,out_of_graph,算法工程师,,L0_kg_miss,0,算法工程师,llm,L3_llm_embedding,1,embedding最近邻: 自动驾驶算法工程师
T_0277,资深全球化人事负责人,管海外团队的HR和薪酬福利,hard,out_of_graph,人力资源经理,,L0_kg_miss,0,总经理,llm,L3_llm_embedding,0,embedding最近邻: 海外业务负责人
T_0278,新零售运营总监,做线上线下融合的新零售,hard,out_of_graph,运营经理,,L0_kg_miss,0,运营经理,llm,L3_llm_embedding,1,embedding最近邻: 电商运营经理
T_0279,元宇宙产品设计师,做VR/AR沉浸式体验设计,hard,out_of_graph,设计师,,L0_kg_miss,0.505,设计师,llm,L3_llm_embedding,1,embedding最近邻: 产品设计师
T_0280,资深技术合伙人,创业公司的技术合伙人，管研发,hard,out_of_graph,软件工程师,,L0_kg_miss,0,总经理,llm,L3_llm_embedding,0,embedding最近邻: 联合创始人
T_0281,首席产品经理（偏策略）,我目前做C端产品,easy,L1,产品经理,,L0_kg_miss,0,产品经理,llm,L3_llm_embedding,1,embedding最近邻: C端产品经理
T_0282,首席PM（偏策略）,字节跳动做推荐产品的PM,easy,L1,产品经理,,L0_kg_miss,0,产品经理,llm,L3_llm_embedding,1,embedding最近邻: 策略产品经理
T_0283,首席产品总监（偏策略）,管三条产品线,easy,L1,产品经理,,L0_kg_miss,0,产品经理,llm,L3_llm_embedding,1,embedding最近邻: 首席产品官
T_0284,CPO（偏策略）,,easy,L1,产品经理,,L0_kg_miss,0,产品经理,llm,L3_llm_embedding,1,embedding最近邻: CPO
T_0285,首席AI产品经理（偏策略）,做大模型应用方向,easy,L1,产品经理,,L0_kg_miss,0,产品经理,llm,L3_llm_embedding,1,embedding最近邻: AI产品负责人
T_0286,首席用户运营（偏策略）,,easy,L1,运营经理,,L0_kg_miss,0,运营经理,llm,L3_llm_embedding,1,embedding最近邻: 策略运营负责人
T_0287,首席运营总监（偏策略）,管整个运营部门,easy,L1,运营经理,,L0_kg_miss,0,运营经理,llm,L3_llm_embedding,1,embedding最近邻: 首席运营官
T_0288,首席增长经理（偏策略）,,easy,L1,运营经理,,L0_kg_miss,0,运营经理,llm,L3_llm_embedding,1,embedding最近邻: 增长经理
T_0289,首席COO（偏策略）,负责全公司运营,easy,L1,运营经理,,L0_kg_miss,0,运营经理,llm,L3_llm_embedding,1,embedding最近邻: 首席运营官
T_0290,首席品牌经理（偏策略）,,easy,L1,市场经理,,L0_kg_miss,0,市场经理,llm,L3_llm_embedding,1,embedding最近邻: 品牌负责人
T_0291,CMO（偏策略）,,easy,L1,市场经理,,L0_kg_miss,0,运营经理,llm,L3_llm_embedding,0,embedding最近邻: 策略运营负责人
T_0292,首席HRBP（偏策略）,对接技术团队,easy,L1,人力资源经理,,L0_kg_miss,0,人力资源经理,llm,L3_llm_embedding,1,embedding最近邻: HRBP
T_0293,首席招聘经理（偏策略）,,easy,L1,人力资源经理,,L0_kg_miss,0,人力资源经理,llm,L3_llm_embedding,1,embedding最近邻: 招聘总监
T_0294,首席投资总监（偏策略）,看AI赛道,easy,L1,投资经理,,L0_kg_miss,0,算法工程师,llm,L3_llm_embedding,0,embedding最近邻: AI总监
T_0295,首席合伙人（偏策略）,基金的GP,easy,L1,投资经理,,L0_kg_miss,0,投资经理,llm,L3_llm_embedding,1,embedding最近邻: 管理合伙人
T_0296,首席BD经理（偏策略）,,easy,L1,销售经理,,L0_kg_miss,0,销售经理,llm,L3_llm_embedding,1,embedding最近邻: BD经理
T_0297,首席KA经理（偏策略）,负责大客户,easy,L1,销售经理,,L0_kg_miss,0,销售经理,llm,L3_llm_embedding,1,embedding最近邻: 大客户负责人
T_0298,首席CFO（偏策略）,,easy,L1,财务经理,,L0_kg_miss,0,财务经理,llm,L3_llm_embedding,1,embedding最近邻: 首席财务官
T_0299,首席BI分析师（偏策略）,做Tableau报表,easy,L1,数据分析师,,L0_kg_miss,0,数据分析师,llm,L3_llm_embedding,1,embedding最近邻: BI分析师
T_0300,首席CDO（偏策略）,首席数据官，管数据团队,hard,L3_ambiguous,设计师,,L0_kg_miss,0,数据分析师,llm,L3_llm_embedding,0,embedding最近邻: 首席数据官
